Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Approx. Gas Flow,Unsubtracted Delta T,Baseline Delta T,Unsubtracted Heat Flow,Baseline Heat Flow,Heat Flow Calibration,Unsubstracted Microvolt,R25 Diagnostic Signal, 
0.000000,10.080078,0.000000,25.031250,24.790000,30.000000,0.364385,0.000000,19.988009,0.000000,1.000000,0.480639,14.622000, 
0.002083,10.080078,0.000000,25.031250,24.790000,30.000000,0.363504,0.000000,19.975680,0.000000,1.000000,0.479489,14.587000, 
0.004167,10.079860,0.000000,25.062500,24.790000,30.000000,0.362654,0.000000,19.963704,0.000000,1.000000,0.478371,14.553000, 
0.006250,10.079860,0.000000,25.093750,24.790000,30.000000,0.361841,0.000000,19.952079,0.000000,1.000000,0.477286,14.520000, 
0.008333,10.079641,0.000000,25.125000,24.790000,30.000000,0.361014,0.000000,19.940455,0.000000,1.000000,0.476201,14.487000, 
0.010417,10.079641,0.000000,25.156250,24.800000,30.000000,0.360213,0.000000,19.929169,0.000000,1.000000,0.475150,14.455000, 
0.012500,10.079423,0.000000,25.187500,24.800000,30.000000,0.359417,0.000000,19.917897,0.000000,1.000000,0.474098,14.423000, 
0.014583,10.079423,0.000000,25.218750,24.800000,30.000000,0.358607,0.000000,19.906625,0.000000,1.000000,0.473046,14.391000, 
0.016667,10.079205,0.000000,25.250000,24.800000,30.000000,0.357839,0.000000,19.895705,0.000000,1.000000,0.472027,14.360000, 
0.018750,10.079205,0.000000,25.281250,24.800000,30.000000,0.357065,0.000000,19.884785,0.000000,1.000000,0.471008,14.329000, 
0.020833,10.078987,0.000000,25.312500,24.800000,30.000000,0.356271,0.000000,19.873513,0.000000,1.000000,0.469956,14.297000, 
0.022917,10.078987,0.000000,25.343750,24.810000,30.000000,0.355495,0.000000,19.862579,0.000000,1.000000,0.468937,14.266000, 
0.025000,10.078987,0.000000,25.375000,24.810000,30.000000,0.354718,0.000000,19.851660,0.000000,1.000000,0.467918,14.235000, 
0.027083,10.078769,0.000000,25.406250,24.810000,30.000000,0.353991,0.000000,19.841445,0.000000,1.000000,0.466965,14.206000, 
0.029167,10.078769,0.000000,25.437500,24.810000,30.000000,0.353236,0.000000,19.830877,0.000000,1.000000,0.465979,14.176000, 
0.031250,10.078550,0.000000,25.468750,24.810000,30.000000,0.352530,0.000000,19.820662,0.000000,1.000000,0.465025,14.147000, 
0.033333,10.078550,0.000000,25.500000,24.810000,30.000000,0.351798,0.000000,19.810447,0.000000,1.000000,0.464072,14.118000, 
0.035417,10.078332,0.000000,25.531250,24.820000,30.000000,0.351068,0.000000,19.800217,0.000000,1.000000,0.463119,14.089000, 
0.037500,10.078332,0.000000,25.562500,24.820000,30.000000,0.350352,0.000000,19.790002,0.000000,1.000000,0.462166,14.060000, 
0.039583,10.078114,0.000000,25.593750,24.820000,30.000000,0.349639,0.000000,19.780139,0.000000,1.000000,0.461245,14.032000, 
0.041667,10.078114,0.000000,25.625000,24.820000,30.000000,0.348920,0.000000,19.769924,0.000000,1.000000,0.460292,14.003000, 
0.043750,10.077896,0.000000,25.656250,24.820000,30.000000,0.348200,0.000000,19.759709,0.000000,1.000000,0.459339,13.974000, 
0.045833,10.077896,0.000000,25.687500,24.820000,30.000000,0.347505,0.000000,19.749846,0.000000,1.000000,0.458418,13.946000, 
0.047917,10.077896,0.000000,25.718750,24.830000,30.000000,0.346805,0.000000,19.739969,0.000000,1.000000,0.457498,13.918000, 
0.050000,10.077678,0.000000,25.750000,24.830000,30.000000,0.346175,0.000000,19.731163,0.000000,1.000000,0.456676,13.893000, 
